Name	Accession	seq_start	seq_stop	Type	representative_MGE	Description
Adhesion_protein_Bap	JX403946.1	NA	NA	gene	SaPIbov2	Specific_adhesion_to_bovine_mammary_mucosa
Bacteriocin_bsa	NC_002745.2	1007021	1007293	gene	SaPIn3	Bactericidal_activity_against_other_bacteria
Chemotaxis_inhibitory_protein_chip	NC_007795.1	2034146	2034595	gene	Staphylococcus_prophage_phi13	Blocks_C5a_and_fMLP-induced_neutrophil_activation_and_chemotaxis;_blocks_C5a_and_formylated_peptide_receptor
Epidermal_cell_differentiation_inhibitor_B_edin-B	MG717464.1	1746	2489	gene	etdPI	ADP-ribosyltransferase;_inhibits_morphological_differentiation_of_keratinocytes_in_vitro_and_modifies_eukaryotic_Rho_GTPase
Epidermal_cell_differentiation_inhibitor_C_edin-C	NC_022598.1	51488	52231	gene	pETB	"ADP-ribosyltransferase,_inhibits_morphological_differentiation_of_keratinocytes_in_vitro_and_modifies_eukaryotic_Rho_GTPase"
Exfoliative_toxin_A_eta	NC_003288.1	41879	42721	gene	Staphylococcus_phage_phiETA	"Causes_staphylococcal_scalded_skin_syndrome_SSSS,_Ritter_disease,_and_bulbous_impetigo_in_neonates"
Exfoliative_toxin_B_etb	M17348.1	NA	NA	gene	pETB	"Causes_SSSS,_Ritter_disease,_and_bulbous_impetigo_in_neonates"
Exfoliative_toxin_D_etd	MG717464.1	1	846	gene	etdPI	"Causes_SSSS,_Ritter_disease,_and_bulbous_impetigo_in_neonates"
Enterotoxin_A_sea	NC_002951.2	1685330	1686082	gene	mu50_Bacterophage_type-1_nSA3	"Super_antigen_SAg,_causes_food_poisoning"
Enterotoxin_B_seb	NC_002951.2	916478	917278	gene	SaPI1	"SAg,_causes_food_poisoning"
Enterotoxin_C_sec	NC_002745.2	2058050	2058850	gene	SaPIbov1	"SAg,_causes_food_poisoning"
Enterotoxin_C1_sec1	NC_002952.2	1997150	1997935	gene	SaPI4	"SAg,_causes_food_poisoning"
Enterotoxin_C3_sec3	BA000018.3	2058050	2058850	gene	SaPIn1	"from_n315_SAg,_causes_food_poisoning"
Enterotoxin_C4_sec4	BA000033.2	851795	852595	gene	SaPImw2	"from_mw2_SAg,_causes_food_poisoning"
Enterotoxin_D_sed	M94872.1	NA	NA	gene	pIB485	"SAg,_causes_food_poisoning"
Enterotoxin_G_seg	NC_002745.2	1876310	1877086	gene	SaPIn3	"SAg,_causes_food_poisoning"
Enterotoxin_I_sei	NC_002745.2	1879088	1879816	gene	SaPIn3	"SAg,_causes_food_poisoning"
Enterotoxin_J_sej	AF053140.1	911	1717	gene	pIB485	"SAg,_causes_food_poisoning"
Enterotoxin_K_sek	NC_002951.2	904800	905528	gene	phi_Sa3ms	"SAg,_causes_food_poisoning"
Enterotoxin_K2_sek2	BA000033.2	2086900	2087628	gene	MW2_phi_SA3	"SAg,_causes_food_poisoning"
Enterotoxin_L_sel	NC_002745.2	2057159	2057881	gene	SaPI1	"SAg,_causes_food_poisoning"
Enterotoxin_L2_sel2	BA000033.2	852762	853484	gene	SaPImw2	"SAg,_causes_food_poisoning"
Enterotoxin_M_sem	NC_002745.2	1879851	1880570	gene	SaPIn3	"SAg,_causes_food_poisoning"
Enterotoxin_N_sen	NC_002745.2	1877369	1878124	gene	SaPIn3	"SAg,_causes_food_poisoning"
Enterotoxin_O_seo	NC_002745.2	1880851	1881633	gene	SaPIn3	"SAg,_causes_food_poisoning"
Enterotoxin_P_sep	NC_002745.2	2011380	2012153	gene	phi_N315	"SAg,_causes_food_poisoning"
Enterotoxin_Q_seq	BA000033.2	2086148	2086876	gene	MW2_phi_SA3	"SAg,_causes_food_poisoning"
Ferrichrome_operon_fhuD	NC_002952.2	704409	707259	gene	MRSA252_operon	Iron_up-take
a-hemolysin_hla	NC_007795.1	1076413	1077372	gene	etdPI	Pore-forming_cytolytic_toxin
Hyaluronate_lyase_hysA	NC_002745.2	2273593	2276022	gene	N315_vSa?	Degradation_of_mucopolysaccharide_hyaluronic_acid
"Leukocidin_lukM,_lukF"	NC_002486.1	40278	42174	gene	phage_phi_PV83	Pore-forming_leukocyte_toxin
"Leukotoxin_D,_E_lukD,_lukE"	NC_002745.2	1869247	1871167	gene	N315_vSa?	Pore-forming_leukocyte_toxin
